timestamp,rssi,phase
66,-41.5,674.0
428,-41.5,695.0
8867,-40.5,662.0
9242,-41.5,698.0
17552,-41.0,684.0
17911,-41.5,697.0
26406,-41.5,688.0
26765,-41.5,695.0
35270,-41.5,688.0
35628,-41.5,697.0
51372,-41.0,2041.0
51746,-42.0,2060.0
60067,-41.0,2048.0
60443,-41.5,2062.0
68767,-41.5,2036.0
69138,-42.0,2063.0
77780,-41.5,2035.0
78153,-42.0,2061.0
86630,-41.0,2042.0
86999,-42.0,2058.0
95617,-41.0,2035.0
95977,-41.5,2059.0
104780,-41.5,2043.0
105139,-42.0,2061.0
113910,-41.5,2040.0
114287,-42.0,2061.0
