timestamp,rssi,distance_m
66,-41.5,2.705945676896824
428,-41.5,2.705945676896824
8867,-40.5,2.554577446913321
9242,-41.5,2.705945676896824
17552,-41.0,2.6291724551221862
17911,-41.5,2.705945676896824
26406,-41.5,2.705945676896824
26765,-41.5,2.705945676896824
35270,-41.5,2.705945676896824
35628,-41.5,2.705945676896824
51372,-41.0,2.6291724551221862
51746,-42.0,2.784960717221695
60067,-41.0,2.6291724551221862
60443,-41.5,2.705945676896824
68767,-41.5,2.705945676896824
69138,-42.0,2.784960717221695
77780,-41.5,2.705945676896824
78153,-42.0,2.784960717221695
86630,-41.0,2.6291724551221862
86999,-42.0,2.784960717221695
95617,-41.0,2.6291724551221862
95977,-41.5,2.705945676896824
104780,-41.5,2.705945676896824
105139,-42.0,2.784960717221695
113910,-41.5,2.705945676896824
114287,-42.0,2.784960717221695
